scenario,regime,vital_unmet_pct_median,vital_unmet_pct_p90,eco_overshoot_pct_median,eco_overshoot_pct_p90,inequality_gini_median,inequality_gini_p90,admin_load_hours_per_1000_median,admin_load_hours_per_1000_p90,rent_capture_pct_median,rent_capture_pct_p90,recovery_days_median,recovery_days_p90,breached_gates,pareto_frontier,dominated_by
base_tendue,communs_planifies_federes,0.002734,1.273572,0.000000,0.000000,0.170368,0.173964,149.422482,153.700413,2.102704,2.571126,0.000000,0.000000,,true,
base_tendue,marche_socialise_borne,0.002734,1.273572,0.000000,0.000000,0.220992,0.224649,75.974726,80.256605,5.313817,5.797193,0.000000,0.000000,,true,
base_tendue,planification_negociee_distribuee,0.002734,1.273572,0.000000,0.000000,0.190124,0.193815,159.644824,163.944472,3.456690,3.933281,0.000000,0.000000,,false,communs_planifies_federes
base_tendue,dotations_universelles_quotas,0.002734,1.273572,0.000000,0.000000,0.183479,0.187167,115.358092,119.645894,3.604058,4.074349,0.000000,0.000000,,true,
rupture_logistique,communs_planifies_federes,6.154468,8.069210,0.000000,0.000000,0.177910,0.181419,168.299696,172.337980,3.746372,4.267494,0.000000,0.000000,,true,
rupture_logistique,marche_socialise_borne,9.468026,11.549949,0.000000,0.000000,0.236129,0.239603,95.229594,99.284570,8.392668,8.957160,0.000000,0.389471,vital_unmet_pct;rent_capture_pct,true,
rupture_logistique,planification_negociee_distribuee,6.754792,8.676037,0.000000,0.000000,0.201439,0.204905,180.620471,184.723677,5.881315,6.414104,0.000000,0.000000,admin_load_hours_per_1000,false,communs_planifies_federes
rupture_logistique,dotations_universelles_quotas,6.753591,8.666892,0.000000,0.000000,0.194373,0.197858,135.181873,139.240447,6.008711,6.543923,0.000000,0.000000,,true,
contrainte_ecologique,communs_planifies_federes,0.020568,1.433936,3.233267,5.870334,0.172608,0.176322,156.861454,160.914831,2.667454,3.148253,0.000000,0.000000,,true,
contrainte_ecologique,marche_socialise_borne,0.020568,1.433936,6.225988,8.876071,0.225513,0.229305,83.577081,87.631163,6.411545,6.919739,0.000000,0.000000,eco_overshoot_pct,true,
contrainte_ecologique,planification_negociee_distribuee,0.020568,1.433936,4.702477,7.345976,0.193531,0.197325,167.982403,172.023217,4.311943,4.794875,0.000000,0.000000,,false,communs_planifies_federes
contrainte_ecologique,dotations_universelles_quotas,0.020568,1.433936,2.414383,5.061849,0.186854,0.190667,123.205522,127.246488,4.464100,4.953889,0.000000,0.000000,,true,
afflux_besoins,communs_planifies_federes,1.753195,3.951311,0.000000,0.000000,0.178022,0.181717,165.259053,169.208127,3.839248,4.384538,0.000000,0.000000,,true,
afflux_besoins,marche_socialise_borne,5.545162,7.854865,0.000000,0.000000,0.236814,0.240673,92.134843,96.094123,8.727473,9.312460,0.000000,0.000000,rent_capture_pct,true,
afflux_besoins,planification_negociee_distribuee,2.578191,4.807046,0.000000,0.000000,0.201888,0.205687,177.262014,181.271708,6.101356,6.649716,0.000000,0.000000,,false,communs_planifies_federes
afflux_besoins,dotations_universelles_quotas,2.469846,4.688624,0.000000,0.000000,0.195251,0.198977,132.003529,135.978118,6.308435,6.861074,0.000000,0.000000,,true,
choc_financier,communs_planifies_federes,0.000000,1.184546,0.000000,0.000000,0.181056,0.184207,157.719144,161.754215,4.797698,5.240170,0.000000,0.000000,,true,
choc_financier,marche_socialise_borne,0.000000,1.184546,0.000000,0.000000,0.240582,0.243985,84.447511,88.471553,10.264826,10.737190,0.000000,0.000000,inequality_gini;rent_capture_pct,true,
choc_financier,planification_negociee_distribuee,0.000000,1.184546,0.000000,0.000000,0.205747,0.208962,168.864368,172.931264,7.390303,7.859591,0.000000,0.000000,rent_capture_pct,false,communs_planifies_federes
choc_financier,dotations_universelles_quotas,0.000000,1.184546,0.000000,0.000000,0.198674,0.201921,124.095062,128.126630,7.438202,7.901579,0.000000,0.000000,rent_capture_pct,true,
polycrise,communs_planifies_federes,32.638735,35.152903,24.838185,27.626677,0.187320,0.190808,190.174412,194.706338,6.054479,6.498850,52.436829,54.957996,vital_unmet_pct;eco_overshoot_pct;admin_load_hours_per_1000;recovery_days,true,
polycrise,marche_socialise_borne,38.060304,40.647614,27.185771,29.993585,0.256202,0.259762,117.576212,122.101541,12.845330,13.320244,55.292580,57.845084,vital_unmet_pct;eco_overshoot_pct;inequality_gini;rent_capture_pct;recovery_days,true,
polycrise,planification_negociee_distribuee,34.219529,36.745786,26.229359,29.033121,0.216110,0.219665,205.104134,209.601790,9.357614,9.809655,51.834996,54.388953,vital_unmet_pct;eco_overshoot_pct;admin_load_hours_per_1000;rent_capture_pct;recovery_days,true,
polycrise,dotations_universelles_quotas,33.637732,36.152183,23.454314,26.264697,0.209019,0.212567,158.238090,162.749346,9.549785,9.979634,54.299748,56.834583,vital_unmet_pct;eco_overshoot_pct;rent_capture_pct;recovery_days,true,
