control,metric,expected,actual,match
"localized_vs_broadcast","widths","[2,3,4,5,6,7,8]","[2,3,4,5,6,7,8]","true"
"localized_vs_broadcast","N=2:localized:C_info","1","1","true"
"localized_vs_broadcast","N=2:localized:C_erase","1","1","true"
"localized_vs_broadcast","N=2:broadcast:C_info","1","1","true"
"localized_vs_broadcast","N=2:broadcast:C_erase","2","2","true"
"localized_vs_broadcast","N=3:localized:C_info","1","1","true"
"localized_vs_broadcast","N=3:localized:C_erase","1","1","true"
"localized_vs_broadcast","N=3:broadcast:C_info","1","1","true"
"localized_vs_broadcast","N=3:broadcast:C_erase","3","3","true"
"localized_vs_broadcast","N=4:localized:C_info","1","1","true"
"localized_vs_broadcast","N=4:localized:C_erase","1","1","true"
"localized_vs_broadcast","N=4:broadcast:C_info","1","1","true"
"localized_vs_broadcast","N=4:broadcast:C_erase","4","4","true"
"localized_vs_broadcast","N=5:localized:C_info","1","1","true"
"localized_vs_broadcast","N=5:localized:C_erase","1","1","true"
"localized_vs_broadcast","N=5:broadcast:C_info","1","1","true"
"localized_vs_broadcast","N=5:broadcast:C_erase","5","5","true"
"localized_vs_broadcast","N=6:localized:C_info","1","1","true"
"localized_vs_broadcast","N=6:localized:C_erase","1","1","true"
"localized_vs_broadcast","N=6:broadcast:C_info","1","1","true"
"localized_vs_broadcast","N=6:broadcast:C_erase","6","6","true"
"localized_vs_broadcast","N=7:localized:C_info","1","1","true"
"localized_vs_broadcast","N=7:localized:C_erase","1","1","true"
"localized_vs_broadcast","N=7:broadcast:C_info","1","1","true"
"localized_vs_broadcast","N=7:broadcast:C_erase","7","7","true"
"localized_vs_broadcast","N=8:localized:C_info","1","1","true"
"localized_vs_broadcast","N=8:localized:C_erase","1","1","true"
"localized_vs_broadcast","N=8:broadcast:C_info","1","1","true"
"localized_vs_broadcast","N=8:broadcast:C_erase","8","8","true"
"matched_erasure_depth","degree_profile","[3,2,2,1,1,1]","[3,2,2,1,1,1]","true"
"matched_erasure_depth","actuator_degree","2","2","true"
"matched_erasure_depth","work","5","5","true"
"matched_erasure_depth","shallow_depth","2","2","true"
"matched_erasure_depth","deep_depth","3","3","true"
"single_edge_robustness","degree_profile","[3,2,2,1,1,1]","[3,2,2,1,1,1]","true"
"single_edge_robustness","actuator_degree","2","2","true"
"single_edge_robustness","eccentricity","3","3","true"
"single_edge_robustness","tree_a_profile","[4,2,1,1,1]","[4,2,1,1,1]","true"
"single_edge_robustness","tree_a_mean","9/5","9/5","true"
"single_edge_robustness","tree_b_profile","[4,3,1,1,1]","[4,3,1,1,1]","true"
"single_edge_robustness","tree_b_mean","10/5","10/5","true"
"two_edge_no_remainder","N=7:searched","16807","16807","true"
"two_edge_no_remainder","N=7:pair_found","false","false","true"
"two_edge_no_remainder","N=8:searched","262144","262144","true"
"two_edge_no_remainder","N=8:pair_found","false","false","true"
