protocol,mode,mean_service_p10,mean_service_median,mean_service_p90,worst_service_p10,worst_service_median,worst_service_p90,unserved_need_p10,unserved_need_median,unserved_need_p90,time_to_safe_p10,time_to_safe_median,time_to_safe_p90,rights_burden_p10,rights_burden_median,rights_burden_p90,power_concentration_p10,power_concentration_median,power_concentration_p90,rollback_days_p10,rollback_days_median,rollback_days_p90,dependency_detection_rate_p10,dependency_detection_rate_median,dependency_detection_rate_p90,hidden_dependencies_p10,hidden_dependencies_median,hidden_dependencies_p90,decision_delay_p10,decision_delay_median,decision_delay_p90,joint_pass_rate
base,capacity_gate,89.88919858732179,92.33287617595414,94.71630010681346,61.660235953412574,71.03813296694838,80.22364690887457,237.76649519339406,345.02057208206384,454.98606357051995,0.0,13.0,21.0,4.3158018157466005,5.322822239420808,6.617562784144788,34.0,34.0,34.0,1.9585062888445268,2.3350728167374246,2.7087650585939897,0.25,0.5,1.0,0.0,2.0,3.0,2.0537102758423087,2.2308739776406696,2.4021126391341343,1.0
base,calendar_transfer,87.53009223328519,90.3997596591202,93.14697644380209,58.04007370603632,68.51810581625439,78.30837909117452,308.3860600289067,432.01081533959115,561.145849502166,0.0,17.0,24.0,6.136683997362013,7.4635345913862325,8.790385185410452,46.0,46.0,46.0,2.3532821356791587,2.8008168402404765,3.247677151228053,0.0,0.25,0.75,1.0,3.0,4.0,1.1325178179866848,1.2252010186267834,1.3162143708489662,1.0
base,central_command,89.67690209382833,92.2119595384041,94.59169045280004,61.84464537227161,71.1653765772684,80.30304470859548,243.37392962399844,350.46182077181555,464.5394057777256,0.0,14.0,22.0,14.200247836107733,17.98698059240313,22.247054943235447,88.0,88.0,88.0,5.485374600548408,6.5179902659157385,7.578411386542034,0.25,0.5,0.75,1.0,2.0,3.0,0.8874025637465119,0.9786650118243408,1.0716720964229947,0.5202
base,bounded_continuity_cell,89.80071880596715,92.30337962380183,94.69552670022394,61.74691884371051,71.11864360799635,80.27545969252918,238.7012984899224,346.34791692891724,458.96765373147775,0.0,14.0,21.0,6.605783866335491,8.367326230691624,10.128868595047754,50.0,50.0,50.0,3.117363352433787,3.705507769128196,4.311083490264321,0.25,0.5,0.75,1.0,2.0,3.0,1.2895817784856471,1.411838157285799,1.5325239629516427,1.0
dense_shocks,capacity_gate,82.40556920044423,85.69163899048979,88.92817380780049,45.91759403765427,57.484557417890244,68.20637521072759,498.2321786489778,643.8762454279596,791.7493859800097,0.0,21.0,31.0,6.905282905194563,8.34388351044343,9.926344176217183,34.0,34.0,34.0,1.9614505564363003,2.3355037587336973,2.710932677400483,0.2857142857142857,0.5714285714285714,0.8571428571428571,1.0,3.0,5.0,2.084895609106419,2.2109762472286634,2.338195506941275,0.8536
dense_shocks,calendar_transfer,78.33646202090583,82.24421928877972,86.12588442707317,40.420522881193705,53.01041627614682,65.14642872359246,624.3352007817078,799.0101320049127,974.8592090592387,0.0,26.0,34.0,9.122097833916508,11.112373724952835,12.936793291736135,46.0,46.0,46.0,2.3423632702623,2.80081407367317,3.2568331206138357,0.14285714285714285,0.2857142857142857,0.5714285714285714,3.0,5.0,6.0,1.153331253512142,1.2225229646485212,1.292102873792303,0.496
dense_shocks,central_command,82.05086625433997,85.58390370825609,88.86894946665967,46.649936061311564,58.062588515334404,68.45428565984305,500.8972740003152,648.724333128476,807.7110185547018,0.0,22.0,31.0,23.1937381323093,27.92715407767854,33.13391161758471,88.0,88.0,88.0,5.467557510024806,6.537615126670815,7.585136067031642,0.14285714285714285,0.42857142857142855,0.7142857142857143,2.0,4.0,6.0,0.8921087357820927,0.9554462897101346,1.0241608659723445,0.0026
dense_shocks,bounded_continuity_cell,82.2628600435327,85.70724965777913,88.93895721983465,46.14858034789544,57.770196052117186,68.3634105132685,497.74692510744103,643.1737653999387,798.1712980410291,0.0,22.0,31.0,10.569254186136789,12.771182141581951,15.193302892571632,50.0,50.0,50.0,3.1166302845218357,3.7182190651035465,4.313692554215413,0.2857142857142857,0.5714285714285714,0.7142857142857143,2.0,3.0,5.0,1.3016505178778406,1.3874375764094506,1.4768499490921492,0.8496
long_supply,capacity_gate,85.75801210265256,89.1290695180843,92.60917785967287,58.90783579392648,68.56933854146396,78.48235880846308,332.5869963147212,489.1918716862071,640.8894553806348,0.0,18.0,27.0,5.754402420995469,7.336863086769222,9.063183813067862,34.0,34.0,34.0,1.9567941757095908,2.3319961051277334,2.70555719189678,0.25,0.5,1.0,0.0,2.0,3.0,2.0565946770877446,2.224362020159698,2.4030245193864985,0.9966
long_supply,calendar_transfer,82.3210831392347,86.50038090724323,90.77240624479933,55.9800202708047,66.45420271027429,76.73024428149732,415.2417189840306,607.4828591740547,795.5512587344384,0.0,23.0,32.0,7.961103564145315,10.11723577943467,12.273367994724026,46.0,46.0,46.0,2.351437792762472,2.802590435092582,3.26006593197001,0.0,0.25,0.75,1.0,3.0,4.0,1.132573426443541,1.2224883350393543,1.3161574145584383,0.9166
