protocol,mode,essential_unmet_p10,essential_unmet_median,essential_unmet_p90,low_income_unmet_p10,low_income_unmet_median,low_income_unmet_p90,overall_unmet_p10,overall_unmet_median,overall_unmet_p90,eco_overshoot_p10,eco_overshoot_median,eco_overshoot_p90,imported_harm_p10,imported_harm_median,imported_harm_p90,rent_p10,rent_median,rent_p90,admin_hours_p10,admin_hours_median,admin_hours_p90,gaming_capture_p10,gaming_capture_median,gaming_capture_p90,recovery_weeks_p10,recovery_weeks_median,recovery_weeks_p90
base,corridor,1.6717514782726501,1.9864680428422021,2.321946929479962,2.703146469921054,3.190247163372219,3.6529644282414155,7.304885320792204,8.127813426641493,8.938162430714224,0.4384615384615343,0.48461538461538,0.5307692307692263,0.19151344330048464,0.34283311731453137,0.5249352139493595,5.886647188387945,6.013235961093061,6.138391055810184,18.09770561234438,18.09770561234438,18.09770561234438,0.25394818926566864,0.32240031889681275,0.4003821262719147,0.0,0.0,0.0
base,annual_plan,3.3044828078347406,4.360618845584233,5.889152437296053,3.407273043707395,5.265132469511174,7.369368460963489,8.059867374628775,9.025383687098113,10.106343687359182,0.7816672178300034,0.8804914537154729,0.9809410685638099,0.22453943650968827,0.38620825356295674,0.5701754744080483,3.520479152114051,3.596094508851354,3.6694188777769874,10.712679057663022,10.712679057663022,10.712679057663022,0.5214244274797597,0.7046533400140985,1.0018528571598353,0.0,0.0,0.0
base,eco_market,4.913958797689124,5.744934007174701,6.579975667644501,6.571841723471584,7.8225876594704005,9.064959332213935,3.5913511466912005,4.226800905797823,4.875154064405729,4.549508974274001,5.052478276714039,5.532629849450704,2.379333812572835,3.025261930992912,3.7181820573887805,24.536332456844182,24.977238481362612,25.420223459241313,9.196775447778318,9.19677544777832,9.19677544777832,0.6564452751086692,0.7854025142102312,0.9157287016613318,0.0,0.0,0.0
supply_break,corridor,3.1014153173406473,3.899535220629784,4.798770904373337,4.6367345421977575,5.549169725710942,6.482124147287838,10.532226728905524,11.91662257959021,13.36851160764627,0.3720557151012307,0.42562775147365667,0.4797884331951022,1.6126688856736413,2.3921272830265963,3.2478744293550315,6.15536142837688,6.325838550946131,6.50876280570453,18.09770561234438,18.09770561234438,18.09770561234438,0.20992464667948724,0.28414684672160007,0.3717608573588822,4.0,8.0,10.0
supply_break,annual_plan,6.324467036187966,8.189151047225609,10.37664697312051,6.606257443525111,9.136457156556858,12.070929599667892,12.099401656303128,13.818746184463912,15.558343972427835,0.6849578964674822,0.7954175835865074,0.9057958473394528,1.0711260518932333,1.5356580111928153,2.0209286118662555,3.7126826541001825,3.8242126942367465,3.942606808015711,10.712679057663022,10.712679057663022,10.712679057663022,0.4882865434097471,0.7140952936259941,1.0224983520062267,4.0,7.0,10.0
supply_break,eco_market,7.574306231404601,8.742258051978618,9.975443390380027,10.67067506869557,12.477772119900601,14.368902626261004,5.67981564711704,6.619488206933717,7.588327982499669,4.017161386528062,4.666361241019839,5.310566704933892,5.927434845540392,7.599069580008127,9.287410157806722,25.237970283529403,25.791665803219026,26.404563516558106,9.196775447778318,9.19677544777832,9.19677544777832,0.744613289998123,0.8768802713986008,1.0192953972885133,4.0,7.0,9.0
high_volatility,corridor,2.6814999538009863,3.643839558149069,4.744595791480845,4.04442351454315,5.240164993179763,6.516200098059038,8.938292272334664,10.981731244589696,12.963674871985335,0.2999999999999966,0.3625756045666566,0.415384615384612,0.6087115729799586,1.1236884035612815,1.765194241451822,5.928459677159909,6.266884029878257,6.610726249280841,18.09770561234438,18.09770561234438,18.09770561234438,0.35133453484257676,0.48537992647720785,0.6381371860055521,0.0,0.0,9.0
high_volatility,annual_plan,8.25119919595242,11.589404140678404,16.461147515223608,7.597107738969078,12.452241083302232,18.63689716922774,14.332073528165948,16.353177138047727,18.94552526682569,0.5538461538461541,0.684681108331437,0.7988027737031254,0.4665637690372792,0.789780877634507,1.1633245545109703,3.5666912947274287,3.7714720601064897,3.9771158560550797,10.712679057663022,10.712679057663022,10.712679057663022,1.7530117561319774,2.4009022775097106,3.5603123548820492,0.0,0.0,8.0
high_volatility,eco_market,7.420186374661158,9.489951306627422,11.686772727045618,10.558187872927013,13.63877866901877,16.944147573849474,5.581571650911821,7.1934610084616875,8.929654095396208,3.5520430751605208,4.4053282308677275,5.221354193154901,3.177383284394895,4.40425181346515,5.6976967948094535,24.720994045864554,26.010777031843013,27.344958044971175,9.196775447778318,9.19677544777832,9.19677544777832,0.8960132793670925,1.0439805967864921,1.2000770075496385,0.0,0.0,7.0
coordinated_gaming,corridor,2.108461360883501,2.512221355497828,2.9631860826019434,5.063527985208764,5.706985423548107,6.3525603741934775,8.923769010803984,9.86910731951699,10.838465067295278,0.411715069977971,0.46153846153845607,0.5076923076923023,0.40373907241949636,0.7334676999401211,1.1909604970343088,5.925591007689681,6.07838384748249,6.2324391569214885,18.09770561234438,18.09770561234438,18.09770561234438,0.633639614462628,0.7777259157080076,0.9666488106957771,0.0,0.0,0.0
coordinated_gaming,annual_plan,4.22375519507004,5.603183872469193,7.405016697814518,5.528273677899823,7.907993191524863,10.626225196774426,9.091352287308322,10.337428920634157,11.676998008414202,0.7441570569921794,0.8496925548368484,0.9427086849324513,0.35451830979089916,0.5795097373969179,0.8611070810956991,3.5546358830774305,3.64843905596238,3.7414640380456263,10.712679057663022,10.712679057663022,10.712679057663022,0.6516044945387713,0.9432363900186505,1.3737109383569963,0.0,0.0,7.0
coordinated_gaming,eco_market,9.274942273712222,10.375457642416329,11.551666810676059,13.031335754957885,14.732312911958209,16.543657345453,6.785070132901309,7.646224517568232,8.567485603270555,4.56861370549392,5.145437871918002,5.679086781909078,2.925109776161597,3.7614626301420184,4.6633397890748185,24.78834217176026,25.31866445441095,25.867911084260776,9.196775447778318,9.19677544777832,9.19677544777832,3.307543825376952,3.4799100607436175,3.65710826778325,0.0,0.0,8.0
dirty_imports,corridor,2.652712363411091,3.3338417671569784,4.035624105421297,4.252292786042527,5.098179453438157,5.913019213946408,9.789772974805985,11.161002276458872,12.51826242526145,0.43879932352052375,0.5366542249387094,0.6663945763577758,2.0484809161778723,3.1349200171175085,4.401545719158165,6.0660544221863635,6.261528023863672,6.45304296611527,18.09770561234438,18.09770561234438,18.09770561234438,0.25734273453309,0.3552463134513977,0.4652578796227848,0.0,7.0,11.0
dirty_imports,annual_plan,5.972371559896245,7.826336365227704,10.213329981822461,6.104692587015554,8.93136415215577,12.114015575262984,11.704618847453023,13.31833058507239,15.012036166709198,0.7864882799268871,0.9367222936559925,1.0930415536334086,1.4099096747891178,2.0603219870689196,2.7833152471838756,3.6576309405045127,3.778099990588551,3.8979853328998484,10.712679057663022,10.712679057663022,10.712679057663022,0.6649763791476323,0.9321389367941244,1.3434578249415658,0.0,7.0,10.0
dirty_imports,eco_market,7.309721006861676,8.579300268803287,9.83833081634012,10.289123842964797,12.191834169398065,14.15891116129389,5.448296420785778,6.443827897117572,7.454381178326736,6.796563597420797,7.939882023226842,9.192673197086593,8.27937051408283,10.660489884298869,13.221088119453835,25.038963929755813,25.699082230276545,26.38572265361179,9.196775447778318,9.19677544777832,9.19677544777832,0.9023563097498079,1.0392701879945134,1.1852103694439533,0.0,5.0,9.0
adaptive_gaming,corridor,2.9965783609211623,3.6316568259230317,4.288524623656448,7.276758987801763,7.995133099684013,8.765314709974586,9.00127627654769,9.883752452746315,10.793451726899104,0.4043322007958292,0.44878273646139555,0.4886241938908478,0.5265571938697393,0.9133968133024801,1.4244709830755313,5.955367876550169,6.1070679323327965,6.260648342341797,18.09770561234438,18.09770561234438,18.09770561234438,0.4691339835691477,0.635609170980985,0.8577002701036085,0.0,0.0,2.0
adaptive_gaming,annual_plan,4.535152682916396,5.916836262542845,7.639294849477945,5.7357554609155645,8.047742470968164,10.746713807201159,9.517110497035139,10.846073460756003,12.340610686790008,0.7506885275490164,0.849453397373761,0.9418429459583626,0.4292966294133405,0.6767181378873681,0.9761982994191303,3.573955099766926,3.669349710083271,3.763357881524306,10.712679057663022,10.712679057663022,10.712679057663022,0.5672836410601579,0.8133713003405734,1.1714629318332574,0.0,0.0,8.0
adaptive_gaming,eco_market,11.328636369863197,12.533365263930992,13.679533544817659,16.041899154470048,17.88587023196704,19.68289213173656,8.332802276719956,9.277876121091925,10.207906114614758,4.6325611235192765,5.184270609045122,5.721915887493996,3.1981396521587335,4.145095556734434,5.135746645759004,24.89934148845778,25.427071601780128,25.96778273359308,9.196775447778318,9.19677544777832,9.19677544777832,4.525483867757472,4.716413234298342,4.902222210792283,0.0,0.0,12.0
