control,metric,expected,actual,match
"exhaustive","dimension","3","3","true"
"exhaustive","catalog_size","48","48","true"
"exhaustive","triplets_searched","17296","17296","true"
"exhaustive","discriminating_keys","1","1","true"
"exhaustive","marginal","[2,2,2]","[2,2,2]","true"
"exhaustive","pairwise","[1,1,1]","[1,1,1]","true"
"exhaustive","indices","[[3,5,15],[3,5,17]]","[[3,5,15],[3,5,17]]","true"
"exhaustive","triple_dimensions","[0,1]","[0,1]","true"
"representation_audit","reordering_preserves_profile","true","true","true"
"representation_audit","basis_change_preserves_profile","true","true","true"
"representation_audit","observations_do_not_mutate_state","true","true","true"
"core_integrity","classifier.mjs","cb72edb3b6ad8395b4fab911f5b3219558cde22d3f792f851b06eb962eaa01e0","cb72edb3b6ad8395b4fab911f5b3219558cde22d3f792f851b06eb962eaa01e0","true"
"core_integrity","contracts.mjs","f70e9f081f5d1fb0c7692437708fe3afb7a1cdd7f954ebe7af603e43d78e0710","f70e9f081f5d1fb0c7692437708fe3afb7a1cdd7f954ebe7af603e43d78e0710","true"
"core_integrity","control-runner.mjs","40dccd728b4e983832f28700a40462adc6e4f6abaebd9e4839002a048e79be84","40dccd728b4e983832f28700a40462adc6e4f6abaebd9e4839002a048e79be84","true"
"core_integrity","engine.mjs","0cc433991498edf76f2c73ad0c9571c0c841f184a60d6f71fee72d2e359acc8d","0cc433991498edf76f2c73ad0c9571c0c841f184a60d6f71fee72d2e359acc8d","true"
"core_integrity","reproducibility.mjs","1b0f09a5dfe3e13df90b3ca79af3e327fe00353a7b3eb4848195ab45dd9a543d","1b0f09a5dfe3e13df90b3ca79af3e327fe00353a7b3eb4848195ab45dd9a543d","true"
"core_integrity","file_set","[""classifier.mjs"",""contracts.mjs"",""control-runner.mjs"",""engine.mjs"",""reproducibility.mjs""]","[""classifier.mjs"",""contracts.mjs"",""control-runner.mjs"",""engine.mjs"",""reproducibility.mjs""]","true"
