critical_ratio,resonance_ratio,pitch_lambda,orbit_shift,branch,amplitude_ratio_fow_over_zow,eta_sd_zow,eta_maxwell_zow,eta_sd_fow,eta_maxwell_fow,distribution_gap_zow,distribution_gap_fow,orbit_gap_sd,orbit_gap_maxwell,orbit_shift_exceeds_distribution_gap,signed_interaction
0.31,0.5,0.0,0.0,-1,1.0,1.2113107351202588,1.071351201948552,1.2113107351202588,1.071351201948552,0.13995953317170673,0.13995953317170673,0.0,0.0,False,0.0
0.31,0.5,0.0,0.0,1,1.0,1.2113107351202588,1.071351201948552,1.2113107351202588,1.071351201948552,0.13995953317170673,0.13995953317170673,0.0,0.0,False,0.0
0.31,0.5,0.0,0.1,-1,0.951229424500714,1.2113107351202588,1.071351201948552,1.2363107351202587,1.096351201948552,0.13995953317170673,0.13995953317170673,0.02499999999999991,0.02499999999999991,False,0.0
0.31,0.5,0.0,0.1,1,1.0512710963760241,1.2113107351202588,1.071351201948552,1.1863107351202589,1.0463512019485521,0.13995953317170673,0.13995953317170673,0.02499999999999991,0.02499999999999991,False,0.0
0.31,0.5,0.0,0.2,-1,0.9048374180359595,1.2113107351202588,1.071351201948552,1.2613107351202588,1.121351201948552,0.13995953317170673,0.13995953317170673,0.050000000000000044,0.050000000000000044,False,0.0
0.31,0.5,0.0,0.2,1,1.1051709180756477,1.2113107351202588,1.071351201948552,1.1613107351202587,1.021351201948552,0.13995953317170673,0.13995953317170673,0.050000000000000044,0.050000000000000044,False,0.0
0.31,0.5,0.0,0.3,-1,0.8607079764250578,1.2113107351202588,1.071351201948552,1.2863107351202587,1.146351201948552,0.13995953317170673,0.13995953317170673,0.07499999999999996,0.07499999999999996,False,0.0
0.31,0.5,0.0,0.3,1,1.161834242728283,1.2113107351202588,1.071351201948552,1.1363107351202588,0.9963512019485521,0.13995953317170673,0.13995953317170673,0.07499999999999996,0.07499999999999996,False,0.0
0.31,0.5,0.0,0.4,-1,0.8187307530779818,1.2113107351202588,1.071351201948552,1.3113107351202589,1.1713512019485521,0.13995953317170673,0.13995953317170673,0.10000000000000009,0.10000000000000009,False,0.0
0.31,0.5,0.0,0.4,1,1.2214027581601699,1.2113107351202588,1.071351201948552,1.1113107351202587,0.9713512019485521,0.13995953317170673,0.13995953317170662,0.10000000000000009,0.09999999999999998,False,-1.1102230246251565e-16
0.31,0.5,0.0,0.5,-1,0.7788007830714049,1.2113107351202588,1.071351201948552,1.3363107351202588,1.196351201948552,0.13995953317170673,0.13995953317170673,0.125,0.125,False,0.0
0.31,0.5,0.0,0.5,1,1.2840254166877414,1.2113107351202588,1.071351201948552,1.0863107351202588,0.946351201948552,0.13995953317170673,0.13995953317170673,0.125,0.125,False,0.0
0.31,0.5,0.0,0.6,-1,0.7408182206817179,1.2113107351202588,1.071351201948552,1.3613107351202587,1.221351201948552,0.13995953317170673,0.13995953317170673,0.1499999999999999,0.1499999999999999,True,0.0
0.31,0.5,0.0,0.6,1,1.3498588075760032,1.2113107351202588,1.071351201948552,1.0613107351202589,0.921351201948552,0.13995953317170673,0.13995953317170684,0.1499999999999999,0.15000000000000002,True,1.1102230246251565e-16
0.31,0.5,0.0,0.7,-1,0.7046880897187134,1.2113107351202588,1.071351201948552,1.3863107351202588,1.246351201948552,0.13995953317170673,0.13995953317170673,0.17500000000000004,0.17500000000000004,True,0.0
0.31,0.5,0.0,0.7,1,1.4190675485932571,1.2113107351202588,1.071351201948552,1.0363107351202587,0.896351201948552,0.13995953317170673,0.13995953317170673,0.17500000000000004,0.17500000000000004,True,0.0
0.31,0.5,0.0,0.8,-1,0.6703200460356393,1.2113107351202588,1.071351201948552,1.4113107351202587,1.271351201948552,0.13995953317170673,0.13995953317170673,0.19999999999999996,0.19999999999999996,True,0.0
0.31,0.5,0.0,0.8,1,1.4918246976412703,1.2113107351202588,1.071351201948552,1.0113107351202588,0.8713512019485521,0.13995953317170673,0.13995953317170673,0.19999999999999996,0.19999999999999996,True,0.0
0.31,0.5,0.0,0.9,-1,0.6376281516217733,1.2113107351202588,1.071351201948552,1.4363107351202589,1.2963512019485521,0.13995953317170673,0.13995953317170673,0.2250000000000001,0.2250000000000001,True,0.0
0.31,0.5,0.0,0.9,1,1.568312185490169,1.2113107351202588,1.071351201948552,0.9863107351202588,0.8463512019485521,0.13995953317170673,0.13995953317170673,0.22499999999999998,0.22499999999999998,True,0.0
0.31,0.5,0.0,1.0,-1,0.6065306597126334,1.2113107351202588,1.071351201948552,1.4613107351202588,1.321351201948552,0.13995953317170673,0.13995953317170673,0.25,0.25,True,0.0
0.31,0.5,0.0,1.0,1,1.6487212707001282,1.2113107351202588,1.071351201948552,0.9613107351202588,0.821351201948552,0.13995953317170673,0.13995953317170673,0.25,0.25,True,0.0
0.31,0.5,0.09,0.0,-1,1.0,1.2113107351202588,1.071351201948552,1.2113107351202588,1.071351201948552,0.13995953317170673,0.13995953317170673,0.0,0.0,False,0.0
0.31,0.5,0.09,0.0,1,1.0,1.2113107351202588,1.071351201948552,1.2113107351202588,1.071351201948552,0.13995953317170673,0.13995953317170673,0.0,0.0,False,0.0
